,Day,Time,Dance Style,Instructor,classroom,dt
0,Monday,18:30-19:30,Hip-Hop,Mark,TBC舞蹈教室,2024-11-25
1,Monday,18:30-19:30,Afro Fusion,Lingo,TBC舞蹈教室,2024-11-25
2,Monday,20:30-22:00,House,陳學耀,TBC舞蹈教室,2024-11-25
3,Monday,20:30-22:00,Heels,盈霓,TBC舞蹈教室,2024-11-25
4,Monday,20:30-22:00,Voguing,ViVi,TBC舞蹈教室,2024-11-25
5,Tuesday,18:30-19:30,Locking,小莊,TBC舞蹈教室,2024-11-26
6,Tuesday,20:30-22:00,Hip-Hop,青軒,TBC舞蹈教室,2024-11-26
7,Tuesday,20:30-22:00,House Grooves,JuAnn,TBC舞蹈教室,2024-11-26
8,Wednesday,18:30-19:30,基礎律動,雅鈞,TBC舞蹈教室,2024-11-27
9,Wednesday,20:30-22:00,Hip-Hop,中中,TBC舞蹈教室,2024-11-27
10,Thursday,18:30-19:30,舞感養成,蘇蘇,TBC舞蹈教室,2024-11-28
11,Thursday,20:30-22:00,Popping,雪狄,TBC舞蹈教室,2024-11-28
12,Friday,18:30-19:30,Hip-Hop,昱廷,TBC舞蹈教室,2024-11-29
13,Friday,18:30-19:30,Dancehall,金璇瑄,TBC舞蹈教室,2024-11-29
14,Friday,20:30-22:00,Dancehall,涵涵,TBC舞蹈教室,2024-11-29
15,Saturday,13:00-14:00,大童街舞,小龍女,TBC舞蹈教室,2024-11-30
16,Saturday,20:30-22:00,Afro Style,巴豪,TBC舞蹈教室,2024-11-30
17,Sunday,14:30-15:30,青少街舞,小龍女,TBC舞蹈教室,2024-12-01
18,Sunday,16:30-18:00,Popping,小群,TBC舞蹈教室,2024-12-01
19,Sunday,16:30-18:00,Feminine,默默,TBC舞蹈教室,2024-12-01
20,Sunday,20:30-22:00,Kpop,傲達,TBC舞蹈教室,2024-12-01
