Day,Time,Dance Style,Instructor,classroom
Monday,18:30-19:30,Hip-Hop,Mark,TBC舞蹈教室
Monday,18:30-19:30,Afro Fusion,Lingo,TBC舞蹈教室
Monday,20:30-22:00,House,陳學耀,TBC舞蹈教室
Monday,20:30-22:00,Heels,盈霓,TBC舞蹈教室
Monday,20:30-22:00,Voguing,ViVi,TBC舞蹈教室
Tuesday,18:30-19:30,Locking,小莊,TBC舞蹈教室
Tuesday,20:30-22:00,Hip-Hop,青軒,TBC舞蹈教室
Tuesday,20:30-22:00,House Grooves,JuAnn,TBC舞蹈教室
Wednesday,18:30-19:30,基礎律動,雅鈞,TBC舞蹈教室
Wednesday,20:30-22:00,Hip-Hop,中中,TBC舞蹈教室
Thursday,18:30-19:30,舞感養成,蘇蘇,TBC舞蹈教室
Thursday,20:30-22:00,Popping,雪狄,TBC舞蹈教室
Friday,18:30-19:30,Hip-Hop,昱廷,TBC舞蹈教室
Friday,18:30-19:30,Dancehall,金璇瑄,TBC舞蹈教室
Friday,20:30-22:00,Dancehall,涵涵,TBC舞蹈教室
Saturday,13:00-14:00,大童街舞,小龍女,TBC舞蹈教室
Saturday,20:30-22:00,Afro Style,巴豪,TBC舞蹈教室
Sunday,14:30-15:30,青少街舞,小龍女,TBC舞蹈教室
Sunday,16:30-18:00,Popping,小群,TBC舞蹈教室
Sunday,16:30-18:00,Feminine,默默,TBC舞蹈教室
Sunday,20:30-22:00,Kpop,傲達,TBC舞蹈教室
